,id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel,leaguePoints,rank,wins,losses
29,PDr7rDLGUHVxZGmiOAHO_DAbnM8SHHa0W4IMDrfTz84KFxomMGBRO9EU0w,oQfUFpSvZG76jOUcPxl0_Wcimc5HwfYhHdbZdy4mQWXLFswF8-eyP6sY,nZ-hHwnI9b0RFbNTxaUBNKB_WI0Lkzp-_A9qCQW4qa5H7bAd0pegnbpN5bi1UDr-1Xy85y8-M4o47w,BetterThanMyself,29,1683149498000,46,996,I,115,55
30,HCQC0HUHKkuAAo5B_hE7ek5zL31EShzeASYVpsmvJpwwRAlg,nrZ8_XCQleFIMspgJ_hPKopP2xBW3wBbk3onWYoGqUv5rx1f49kpE0BA,iDMXU-LyejlgGmLddukaDE5cUpGyl-u5znHbitrVxt59Hx6YQQ1KbI1B-46kWXhCuNOVcxNrZct8lQ,GAREN256,5766,1683739069723,263,995,I,134,105
31,lZA3Q0jJdVZS4u194wS3rK4mybVZ7vKBt293fI7caHMPdt8,bc6YeB4Kp4DO_u98fP1bLUN-AYA5qgR1Y35_FYz-8QUfyZo,QCs_SYGYCLLQDskGAgcvPriP14gH8Uswz3l_Bvyux1jBkHO_-r3BrFTQgsAd1WQS29-K_8EM0VSwpQ,BurgerMäker,5525,1683670570227,461,992,I,279,244
32,dk9jdDAmEBbfFqdcc39WjC0GZXVYpMSv-xi-WXKkLVFNwwQ,yQ3BngruvtN08Nxl9z6MaXJk9w729Aimbn-u8gy359m6eg,5FubvJ2ORfTquaKz3KNyjGNmiRY2mFndu4_MmAImuVE4FAJkBjkEyYCYD0VeHiigG4nB-q87lVIRDA,Schuhbart,1589,1683586414000,300,991,I,158,120
33,yhoVi4oEKhc7LCyHFHdfCBFxd6ZY5T9hL3krxekV5qarQds,6XMLqQACNBho_V8VvtOKZC8Z-Us7MNt1sMLKIrpjhZHw1M4,3ezzyzi0-QVu7pmts85YbSsYbhi6zf8WODhvBLPxjYd_vzRlWtJOrnxZ1X18jvu2RUKxdD9Km9WCkw,Cboi,1627,1683579213000,217,991,I,90,59
34,Al-gZBi0MHKWpltdIn_tDpb46cxkXOdvQW6883kFXVbqmSXL,S7kXJbVQjqTXmvOinHForHyXRCKwF-FxXAqZgINtVBavsPnGBB_Ez0B6,eIQtP4inV51NYqqFgxq3d598CygH_CX0EUznaDaJ-w5AfXfNDldhbDLulKXn8a3_UaHIhAQXCukhnA,Malignus maneo,7,1683686229068,96,989,I,360,322
35,2TmJNYgSwgUaoH3qoplJnVJufMCZQxO7TWrf36Rer1OPRwkc,fILAQ-MbddPE88vzISwD7Ee_AjQVoGp1N-EENbNy4B4lJKqoUXlwBXkl,ZHuHo1Zgnl55igC-UkzmC5gGzcNJ-DRnS5K5dS0RXyNKYuU6zmBWd_jokJx-N2PwLJgT92Al8y1wQw,Berk Demir,22,1683632526000,129,989,I,122,77
36,eXqOBn1ykTQJYa-AohpO4CcIIb9OLz3IJeoC8f42KGvrxyI,CGW318A6vY_5SH4ci15kWOGVMNDHW6gqD32JRyc5QD363Q,3NxW2kEDXGk9yTNaCj44z48ll-peJNDi7Ns1e9H1_iVSVdlVFdsLd5UvdyyQW1MQbn9A6JQmmlKwDw,eYa Beaupere,532,1683680408531,349,989,I,139,106
37,AAsxYNxZIAvpQCO5eiMOD3X4tpRY10aTC-Guf7VjsMMBTG0,0QFUKjwDHHA9rRwRTWUzuJZYwi3iMXhlSXxob0pITpuXI_s,EEPKXZIQ22mlA_lorQAkNtvTEW3QYo87-F4oDAygfqJ3JeHVV1zdb4fUr606o9fhp8jEPlK4gOA3pQ,Dzu,3366,1683576629000,357,988,I,296,274
38,tRiqFMRzaA85hYm7C6YcRLFQrRssCm3BW-_DpWxz6IyUFCRQ,T9eZyBRlvTv5-oRbMl7u3gPUPiUAXd4nrXzn8fHuGAZXT04,vTbkEcEuwnBWCposrVK48uAYlEPglHxBXmcBnNREBWtHmeTgPOoz7TCX4nNW5XTZ7dVhMV8F755MBw,Shinomiya Kaguya,1625,1683592053000,879,987,I,328,302
39,IrX-3_xQcKgcKwVp1Fl1TcU3V5a9WImn8lDsGuF2sgS_w_WS,udQdJ6aa70W3iwvQ1SKSYaHr6DU3_c_3i2cAqjk617PqD7K3TVUvB6Ju,HMyuMAe-jqqf2C3c1gVPHRgTmNght--c8b7z8aIfXmjUpiBiZk9HUL8aZnNBTcuGhBkhPIPRUja61Q,Armuttt,4568,1683724384797,279,985,I,111,68
40,XQNtGaYVnQuo7MCtEbx4kwpc_-lNYp-JRwf1YH8O4MDW9VnxNYVRyCUGzg,Zp7xROkfvwmnmiYN09pqpDYiStzP8zqd9NBhDfEtJnWKj4lp8l3wzkO5,7fzKuwzid1k6_AX120ePa_DUe3Je8Kt1I5WGLvWy1ue1qxmNZB9L9HmWfbDhGwLTAwVubI6Fp3TGVA,Fynoxe,4803,1683660245460,750,984,I,269,225
41,9ilL5fpYQGMR_y_84EdnpFNNAGWtZRW1DrpRvRb8dDJBhgg,x7Huxo-zTPftOvvAdkU1oLDohKNMzkgG1iethhUaaFVTdQ,hD57CuyB8e8Ius2ErJyQbFXNfqK1Mgxh31ZUShwrQpPehGed7gvdQSd90w9-CQC2u-YPooeKsWFnSQ,Miś,5584,1683651234000,479,983,I,314,278
42,mYVEYjyJbEdb_O_qYhMgS3x5Ea2Pt_TLpPTh278EAxuJraJQ,VLshWlbEpi_BirMN0theUNaKb4mHkq7ukuFe_8N2ukcT5Sn_XMa-IVDl,wUlsV2i9-Pmi5aFm94K_GU_yipyma3DV4m36ee04_ANes_-JEOS-CeD8vLLSQ_BrjrtsglnIdU8JYg,gods kings ,1456,1683733944893,385,980,I,421,378
43,MmJZBmvpT2pNwqm5TdA2rRn0CjYfQgfgUJ9qXmlg03Uu8T0,eVnZedv0MuFhga60RIdt_iC_wGRJSy-9B_smuQICBPUMIkU,gUBkCKV-HRtEY-aHfJkDZZ-0Www1hdMIjgVdJxllgNbJSynuCiOlL_XO6l6G9YNxlIrt8KOSHlqQpw,chopper lover,4096,1683680540793,189,980,I,118,75
44,kqUEjHawRR2tnov_hwM_HMWoXsFNvwCFhMzHvfiRItfs5jo,lFTe25MLP8Qx2g85INT0ExL0wiAVSo9S0Jyb5clwmCzLr-4,PjWuX-s0gVkY_MyQ6BpXxN99SyrW-BDDx0auPz6LQKqYQLxFK8PUb_Z23F_L3ddKtLeBvRWQJhmXiw,Mindrago,5744,1683660597674,339,979,I,175,141
45,ofIfxM-Cv0wKEpSoz_Te1lohC9trMZO5W9_Ad_FmGcQ478SX,DxD7GcIJynOtRpI5_2rJFmMC9slBij2coT1eEwMI66kVC2hMR_KhGOu5,JnyzxtjkwNxwi9MIPPCwnL8GX1x4LUqxbcp4NCmSyh0XALJrqzkZYlj75LpBJuVfFi1kpCC1TylupQ,ΔKazuyaMiyukiΔ,3183,1682809140000,241,979,I,144,100
46,nEyXBke0Bc3gEgU8AnaHP5vAmuwNK9-jzSvitq6Mv8Sf3Qo,PfYyk_TkJdtWzwwXb91fJxYDk6f0flP52g81uJEPLwYwQSI,ftYyqdnNb6zHz4_9Nh6TsFG9izcpEB_Ls0eAL1HRqiUhwA_k_fH6PFYLEOD6SRHQmc6A1nEZC5xyaw,Kieran Tierney,3783,1683412889000,740,976,I,63,33
47,1wA8ibPeN5WL0y51fY7kp-fu3sflQHER7SZ5iTrgVVCsY7M-,rKrWsWySc_A5I_jJN0JBVK8GsdoL_gu_QX8Kynqg_nzgBmPsOSRWtz4B,drgvH67fOgt5zJEaFuTJrCp5kTpirinjoin39wu9wOq9vbO8Rly97wOikmHcW2nfh-gybpEbLrGvcg,WHERE AM I OMG,1219,1683570753000,195,976,I,176,136
48,xkrswdVHjrCQIyoPOYbMzDY3q9be3_sQb6elb7UKzWZvFhc,04EKfkA4V9It9bN1ePGk6HzIU7Ll7p-4BsIsnp3ipb5TBz0,PeJTaOy2XShXb2nKZ3spx3Q09TP-A4UwP6izqJu46GiyYj5n1tMWv31ySI55QiETxjAtU1LX5ft2tQ,FengDere,1025,1683732376550,610,975,I,370,329
49,Dw3YQ1-EBvv-k1MD5DikY9txelK_te9jE6-BPe97BW0h3dZe,nco-XPn4a3m0F0rbrxbYd6QS2fd7tE1XdYLajilx3rZgP18,_2Fl7C7t7kBezflElawYJIQ23KYv9DKxd8rTCHPhDd085Kea8hzUV_CnUFbR5emsixei-dpz6Z52vA,NIKEY DEAL,4050,1683735741832,491,973,I,197,168
