Team Name,Team Full Name,Team ID,Appear,Win,Win Rate,Duration per Game,Duration per Win,Duration per Lose,Kill,Dead,Bloodiness,Minions Percent per Game,First Blood Percent,First Tower Percent,First Dragon Percent,First Baron Nashor Percent,Dragon Percent,Baron Nashor Percent,Rift Hearld Percent,Ten Minutes Gold Offset per Game,Damage per Minute,Tank per Minute,Put Eye per Minute,Destroy Eye per Minute,Buy True Eye per Minute,Lose
PNG,paiN Gaming,11,6,2,0.3333333333333333,1944.6666666666667,2014.5,1909.75,68,114,0.943034979942223,0.5024245619464754,0.5,0.5,0.3333333333333333,0.5,0.4583333333333333,0.5,0.5,-654.5,1650.3959547480288,3106.4346931779223,3.5533081933493316,1.4244086390126842,1.3884127528282482,4
C9,Cloud9,6,16,7,0.4375,1945.5,1961.5714285714287,1933,236,217,0.8790887470093006,0.509193197596907,0.25,0.3125,0.75,0.4375,0.6273809523809525,0.46875,0.5,-258.1875,1874.6626831148806,2956.607555898227,3.5158057054741714,1.630686198920586,1.1854279105628374,9
PGG,Pentanet.GG,319,19,4,0.21052631578947367,1586.8947368421052,1903,1502.6,174,332,1.0281281020814204,0.4461606224928131,0.42105263157894735,0.15789473684210525,0.5789473684210527,0.2631578947368421,0.4350877192982456,0.23684210526315788,0.13157894736842105,-2187.2631578947367,26705.89035189546,33346.6432290803,36.43660243441345,9.669331033796558,1.0328015654538822,15
MAD,MAD Lions,308,21,12,0.5714285714285714,1841.952380952381,1902.4166666666667,1761.3333333333333,319,287,0.9496333985842467,0.5024257493348594,0.5714285714285714,0.5238095238095238,0.42857142857142855,0.5238095238095238,0.5047619047619047,0.5476190476190477,0.5238095238095238,631.4761904761905,2033.5317080737314,2766.8576303611594,3.7398205837491276,1.6938548641451876,1.195935989245366,9
IW,İstanbul Wildcats,320,6,1,0.16666666666666666,1969.6666666666667,1824,1998.8,91,130,1.124846031827956,0.44870399543712924,0.3333333333333333,0.16666666666666666,0.5,0.16666666666666666,0.325,0.16666666666666666,0.3333333333333333,-783.6666666666666,1870.8698595363005,3006.0365544085294,2.7111186325943475,1.3555593162971737,0.9087832120494161,5
RNG,Royal Never Give Up,15,27,21,0.7777777777777778,1772.3703703703704,1770.2857142857142,1779.6666666666667,463,329,1.0261106129927657,0.5387621706519172,0.5555555555555556,0.8518518518518519,0.48148148148148145,0.5555555555555556,0.5669753086419752,0.5432098765432098,0.7222222222222222,1163.7037037037037,2009.2038283111128,2755.8298156893884,3.730095707777824,1.6750950808709824,1.27387470221925,6
DK,DWG KIA,225,26,18,0.6923076923076923,1846.8461538461538,1755.1666666666667,2053.125,388,295,0.8584366481599451,0.5471013477212806,0.46153846153846156,0.6923076923076923,0.5769230769230769,0.5384615384615384,0.6036630036630036,0.5769230769230769,0.5,537.0769230769231,2110.3423716106463,2829.3315006872426,3.8498063226290142,1.701861801824316,1.3394976883668626,8
DFM,DetonatioN FocusMe,228,6,2,0.3333333333333333,1843.3333333333333,1751.5,1889.25,72,74,0.8007170465528873,0.48518224585423875,0.8333333333333334,0.5,0.3333333333333333,0.5,0.40277777777777773,0.5,0.6666666666666666,81.33333333333333,1534.4104882459312,2798.918625678119,3.2929475587703436,1.7088607594936709,1.1772151898734176,4
PSG,PSG Talon,100,20,11,0.55,1851.2,1734.909090909091,1993.3333333333333,319,236,0.9184197188774507,0.5060686727284267,0.65,0.55,0.55,0.65,0.5520833333333334,0.6166666666666667,0.6,603.5,1840.7605877268797,2743.0180423509073,3.7256914433880723,1.8117977528089886,1.1992221261884182,9
INF,Infinity Esports,232,6,1,0.16666666666666666,1767.5,1634,1794.2,52,100,0.8824103303941365,0.4112990551551618,0.5,0,0.3333333333333333,0.3333333333333333,0.24166666666666667,0.25,0.3333333333333333,-1093.5,1593.3352192362092,2782.3196605374824,3.722772277227723,1.4936350777934937,1.2956152758132957,5
UOL,Unicorns of Love,50,9,2,0.2222222222222222,1593.4444444444443,1579.5,1597.4285714285713,71,150,0.9372431567839169,0.4274077801969293,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.1648148148148148,0.2222222222222222,0.4444444444444444,-1147.111111111111,40935.71856913743,74565.31901541036,59.606721985914504,30.474862282964924,0.8534969667387211,7
KT,KT Rolster,19,45,18,0.4,2060.9333333333334,2229,1948.888888888889,500,574,0.6923552106291553,0.49669198246266333,0.4888888888888889,0.3111111111111111,0,0,0.3537301587301587,0.3537037037037037,0.4444444444444444,0,1752.807789351103,2789.626059390567,4.009833732289578,1.8651743546613184,1.484117228440189,27
DRX,Kingzone DragonX,306,51,22,0.43137254901960786,2028.6078431372548,2083.409090909091,1987.0344827586207,563,658,0.7142500848229083,0.49745773769979723,0.5098039215686274,0.39215686274509803,0,0,0.38562091503267976,0.46568627450980393,0.3235294117647059,0,1922.3835529050157,2819.6317381764757,3.7348128244038703,1.7885345885809838,1.357059318184015,29
BRB,Fredit BRION,318,39,12,0.3076923076923077,1967.3076923076924,2060.1666666666665,1926.037037037037,361,469,0.654809504390767,0.4866477518934372,0.41025641025641024,0.1282051282051282,0,0,0.43833943833943834,0.29914529914529914,0.28205128205128205,0,1634.210752688172,2637.9253176930597,4.006256109481916,1.96911045943304,1.5601173020527859,27
AF,Afreeca Freecs,29,42,16,0.38095238095238093,2011.1666666666667,2011.125,2011.1923076923076,509,579,0.78163675848748,0.49334870355242216,0.7142857142857143,0.5476190476190477,0,0,0.5428571428571429,0.4087301587301588,0.6547619047619048,0,1849.2791438279132,2906.6050266961847,3.7419645076892114,1.9064982419585885,1.5236358900898554,26
HLE,Hanwha Life Esports,207,52,29,0.5576923076923077,1944.673076923077,1979.9655172413793,1900.1739130434783,709,643,0.8028624116997733,0.5092705519689432,0.40384615384615385,0.6153846153846154,0,0,0.5643772893772894,0.5096153846153846,0.4807692307692308,0,2110.1602998328767,2977.7540223292426,3.7267486130751655,1.9805583299546097,1.4673219742294037,23
NS,Nongshim RedForce,316,47,20,0.425531914893617,1964.5106382978724,1952.2,1973.6296296296296,542,624,0.7676570964211181,0.4931249294012227,0.425531914893617,0.40425531914893614,0,0,0.48713272543059777,0.43971631205673756,0.44680851063829785,0,1911.7939609236237,3004.1738508859335,3.776155612355413,1.8591604210891133,1.312654334358619,27
T1,SK Telecom T1,3,51,30,0.5882352941176471,1978.9411764705883,1948.8,2022,680,572,0.7502571820165364,0.5051204504978921,0.5490196078431373,0.7254901960784313,0,0,0.5242763772175535,0.5620915032679739,0.5490196078431373,0,1868.7444266095952,2793.559835919387,3.7031092087271866,1.7704060400689614,1.419654003923667,21
GEN,Gen.G eSports,206,50,32,0.64,1962.12,1944.21875,1993.9444444444443,614,488,0.678939509140467,0.5118939763033992,0.6,0.62,0,0,0.5614285714285715,0.65,0.56,0,1770.2330132713596,2643.723319674638,4.066417956088313,2.0004892667115164,1.5833893951440279,18
DK,DWG KIA,225,49,39,0.7959183673469388,2009.1836734693877,1934.948717948718,2298.7,733,543,0.7826239363918585,0.5013301247061325,0.5102040816326531,0.6122448979591837,0,0,0.6694120505344997,0.7380952380952381,0.6224489795918368,0,2179.257897409853,2897.7714575926866,3.815134586084307,1.8770949720670391,1.4742508887760286,10
